Year,Albania,Azerbaijan,Bolivia (Plurinational State of),Brazil,Bulgaria,Canada,Chile,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Cyprus,Czech Republic,Denmark,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,India,Iraq,Ireland,Italy,Jordan,Kenya,Latvia,Lithuania,Madagascar,Nepal,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Thailand,Turkey,United Kingdom,United Republic of Tanzania,Uruguay
1995,,,3.95805159702174,,,402.421719454817,,,0.251011629159603,,,218.573341028494,,,,,,,,1670.97534805762,190.397475197448,,,,,,,,,,,,,,,103.518913132958,,,,,,,,,,
1996,,,3.35000948348273,,,415.411187889709,,31.8065575165888,0.878690500100422,,,211.185262831746,,,17.85542857,,,,,1455.7230822569,185.171843182385,,,,,,,,,,,,,,,99.9001551133689,,,,,311.663251584692,,,,,
1997,,,4.94836727670096,,,365.010773138172,,35.9851461170013,0.376161791366042,,,200.844757538183,,,13.12057143,,115.674901063001,,,985.997041232928,182.074968337601,,,,,,,,,,22.875,,,,,90.6465868800358,,,,,296.271297364633,,,,,29.2219374173801
1998,,,7.44083627740406,,14.769720180077,394.414937974247,,38.0487175073163,0.375997961255499,,,119.058593765545,,,11.3912,,96.7949359406283,,,994.000609547159,194.221141095392,,,,,,,,,,28.375,,,,,48.2768327958083,,,,,252.07965188689,,,877.905409992447,,34.4213920797688
1999,,,7.7420575808364,,15.3562709310874,435.677595438386,,41.1472768288753,0.250254947227488,,,95.5709665951859,,52.5816950150946,,,95.8847055878449,,,985.701167946119,185.233531890077,,,,,,,,,15.0623753916263,29.575,,,,,41.8713146441512,,,26.204025845377,,209.139484215395,,,893.607124438529,,27.2418146812413
2000,,0.111752976750073,,232.389679851741,14.6000871295522,,,56.7565833101589,0.249193236895551,10.7164240069641,,76.9399861213247,,137.206261430567,,,83.839994594931,797.861926584728,,883.935860813327,144.179549804056,,,,,,,,,13.3371805441055,24.175,,,,164.769360860086,38.4218665761728,,,11.3138415712816,,188.054364046363,56.7563612406357,,752.574966871219,,20.5390759649877
2001,,0.107374863544444,,178.648479561722,13.7318101195812,400.96571829199,,53.8547844205802,0.248957490508496,12.1566079703741,25.9495590875448,43.6144370581236,,86.7727158318651,,,74.2722660199909,857.263022254834,,822.639310686258,126.557435990255,,,,,33.3540666302762,,,,14.3697412076974,24.625,,0.373586126612341,,171.841031778988,35.3062684002828,,5.31487717532546,,,163.324408471409,55.7707412917296,,640.749724683476,,22.3312311064422
2002,,0.122407309465051,,183.549077442205,14.9255527871062,455.420665660569,,49.4427644865205,0.248959556520043,12.2768809597175,35.2489990002093,48.0261846085413,,41.3661752722424,,,79.9961099930824,994.775156031625,,933.252991932938,154.303640136714,61.6084584959801,,,,35.085644462779,,,,16.2522410794926,30.7591192901742,,,148.781551292555,187.841602601286,37.4751856772454,37.2740575451597,7.94232986040252,,,196.772695015674,52.7815549706026,,746.376775392548,,
2003,,0.203635712002085,,189.940694822658,21.3539357131108,,,38.000449481491,0.249337971324346,15.2538463339476,54.3798078627388,66.1398915752755,,45.0346315722007,,,92.547221185037,1170.38376059614,,1236.33009675135,182.390799451865,79.9708732092967,,3.04085105921668,,42.1214005103264,1877.7063713683,,0.588656940706861,19.1976901876723,31.5923594624616,,,167.924804561066,212.029852857042,38.0377667904078,46.6791172759798,8.97399580760296,,,239.293496771548,41.0127930955932,,791.709015506819,,11.4298195718694
2004,1.72406997211731,0.915848296852891,,208.86127781931,25.3950692404498,455.027885190007,,53.8007190549563,,17.157470176669,33.1909843480968,70.7800015244947,,44.7422832926949,,23.4608001409241,88.1587851471072,1203.18116630348,,1126.07303024095,202.929666672875,83.2569514375554,12.4858126558233,3.44401367714752,0.739260484824296,,1897.15594792423,18.0747531734838,0.611312751200224,21.1908434627013,31.1084871025651,0.614546478343681,,185.654642106565,215.986165949371,38.4918639374693,40.4785204898739,8.18429122436273,18.2238939092869,855.512717836012,243.982535223022,45.3627661029884,,830.678530887253,,
